Project ID,Qfield,SQFT,Aerial ,ECD,Address,Feilder,Assigned,Feilding Status ,Data Status,Submitted,Notes
PRJ25374,Qfield_1,"8,658",0,"Monday, June 8, 2026","3123 W 133rd Ave, Broomfield, CO 80020",Vishnu ,Aissgned,Completed,Completed,Submitted,
PRJ25315,Qfield_1,"17,178",0,"Tuesday, June 9, 2026","10541 Oak St, Westminster, CO 80021",Vishnu ,Aissgned,Completed,Completed,Submitted,
PRJ25149,Qfield_1,"14,780",0,"Wednesday, June 10, 2026","2256 E 97th Ave, Thornton, CO 80229",Vishnu ,Aissgned,Completed,Completed,Submitted,
PRJ25150,Qfield_1,"17,514",0,"Wednesday, June 10, 2026","1624 E 97th Dr, Thornton, CO 80229",Vishnu ,Aissgned,Completed,Completed,Submitted,
PRJ25180,Qfield_1,"13,959",0,"Wednesday, June 10, 2026","17745 E 99th Ave, Commerce City, CO 80022",Amaranth,Aissgned,Completed,Completed,Submitted,
PRJ25173,Qfield_1,"8,116",0,"Wednesday, June 10, 2026","10656 Nucla St, Commerce City, CO 80022",Amaranth,Aissgned,Completed,Completed,Submitted,
PRJ25162,Qfield_1,"9,320",0,"Wednesday, June 10, 2026","15682 E 117th Ave, Commerce City, CO 80022",Amaranth,Aissgned,Completed,Completed,Submitted,
PRJ25161,Qfield_1,"10,334",0,"Wednesday, June 10, 2026","11684 Granby St, Brighton, CO 80603",Vineeth,Aissgned,Completed,Completed,Submitted,
PRJ25147,Qfield_1,"14,786",0,"Wednesday, June 10, 2026","10027 Clayton St, Thornton, CO 80229",Vineeth,Aissgned,Completed,Completed,Submitted,
PRJ25148,Qfield_1,"23,264",0,"Wednesday, June 10, 2026","2884 E 97th Ave, Thornton, CO 80229",Vineeth,Aissgned,Completed,Completed,Submitted,
PRJ25319,Qfield_1,"16,938",0,"Wednesday, June 10, 2026","10001 Nelson St, Westminster, CO 80021",Vishnu ,Aissgned,Completed,Completed,Submitted,
PRJ25165,Qfield_1,"4,685",0,"Thursday, June 11, 2026","15800 E 121st Ave, Brighton, CO 80603",Vineeth,Aissgned,Completed,Completed,Submitted,
PRJ25316,Qfield_1,"18,958",0,"Thursday, June 11, 2026","11545 W 106th Way, Westminster, CO 80021",Amaranth,Aissgned,Completed,Completed,Submitted,
PRJ25171,Qfield_1,"8,932",0,"Thursday, June 11, 2026","15420 Fairway Dr, Commerce City, CO 80022",Varun,Aissgned,Completed,Completed,Submitted,
PRJ25175,Qfield_1,"13,516",0,"Thursday, June 11, 2026","16299 E 105th Way, Commerce City, CO 80022",Varun,Aissgned,Completed,Completed,Submitted,
PRJ25179,Qfield_1,"11,798",0,"Thursday, June 11, 2026","10086 Pitkin Way, Commerce City, CO 80022",Varun,Aissgned,Completed,Completed,Submitted,
PRJ25164,Qfield_1,"7,897",0,"Thursday, June 11, 2026","16154 E 117th Ave, Commerce City, CO 80022",Amaranth,Aissgned,Completed,Completed,Submitted,
PRJ25178,Qfield_1,"10,773",0,"Thursday, June 11, 2026","10186 Ouray St, Commerce City, CO 80022",Amaranth,Aissgned,Completed,Completed,Submitted,
PRJ25371,Qfield_1,"19,108",0,"Thursday, June 11, 2026","2923 W 132nd Ave, Broomfield, CO 80020",,,,,,
PRJ25174,Qfield_1,"10,437",0,"Thursday, June 11, 2026","17095 E 105th Ave, Commerce City, CO 80022",Basheer,Aissgned,Completed,Completed,Submitted,
PRJ25166,Qfield_1,"16,223",0,"Friday, June 12, 2026","12104 Joplin St, Brighton, CO 80603",Vishnu ,Aissgned,Completed,Completed,Submitted,
PRJ25372,Qfield_1,"12,597",0,"Sunday, June 14, 2026","3402 Elk Ct, Broomfield, CO 80020",Vishnu ,Aissgned,Completed,Completed,Submitted,
PRJ25375,Qfield_1,"21,194",0,"Sunday, June 14, 2026","2923 W 132nd Ave, Broomfield, CO 80020",Vishnu ,Aissgned,Completed,Completed,Submitted,
PRJ25370,Qfield_1,"14,742",0,"Sunday, June 14, 2026","13602 Plaster Cir, Broomfield, CO 80023",Amaranth,Aissgned,Completed,Completed,Submitted,
PRJ24250,Qfield_1,"21,208",0,"Sunday, June 14, 2026","4347 Lashelle Ave, Colorado Springs, CO 80906",Vineeth,Aissgned,Completed,Completed,Submitted,
PRJ25369,Qfield_1,"12,674",0,"Sunday, June 14, 2026","14067 Pinehurst Cir, Broomfield, CO 80023",Amaranth,Aissgned,Completed,Completed,Submitted,
PRJ25368,Qfield_1,"20,554",0,"Monday, June 15, 2026","2670 Bryant Dr, Broomfield, CO 80020",,,,,,
PRJ25172,Qfield_1,"19,202",0,"Monday, June 15, 2026","16005 E 107th Pl, Commerce City, CO 80022",Amaranth,Aissgned,Completed,Completed,Submitted,
PRJ25163,Qfield_1,"10,967",0,"Monday, June 15, 2026","11788 Fairplay St, Brighton, CO 80603",Amaranth,Aissgned,Completed,Completed,Submitted,
PRJ25196,Qfield_1,"7,318",0,"Monday, June 15, 2026","10012 Reunion Pkwy, Commerce City, CO 80022",Dinesh,Aissgned,Completed,Completed,Submitted,
PRJ25846,Qfield_1,"12,427",0,"Monday, June 15, 2026","1712 E 96th Dr, Thornton, CO 80229",Vineeth,Aissgned,Completed,Completed,Submitted,
